"UHAWAII_ID"	"PSMSL_ID"	"Site"	"Basin"	"Lat"	"Lon"	"Region"	"GPD_Record_Start"	"GPD_Record_End"	"Annual_Trend"	"Trend_Start"	"Trend_End"	"Lambda"	"Q99"	"Shape50"	"Shape5"	"Shape95"	"Scale50"	"Scale5"	"Scale95"	"Vshape"	"Vscale"	"Vscaleshape"
"354a"	"35400000"	"Aburatsu"	"pacific"	31.58	131.42	"Japan"	1961	2016	2.31520847573479	1961	2016	1.51785714285714	0.491273552409972	0.0515996013854388	-0.171194006630102	0.274393209400979	0.111900402408504	0.0774705957698115	0.146330209047196	0.0129213910885066	0.000308583702314305	-0.00137416877633312
"353a"	"35300000"	"Kushimoto"	"pacific"	33.48	135.77	"Japan"	1961	2016	4.25930356057784	1961	2016	1.64285714285714	0.443878993987759	-0.117961057404582	-0.351182051158743	0.11525993634958	0.0960356133660526	0.0663577258535958	0.125713500878509	0.0141592125456783	0.000229281907815137	-0.00146796803420234
"350a"	"35000000"	"Kushiro"	"pacific"	42.97	144.37	"Japan"	1963	2016	8.36930893754718	1963	2016	2.68511711620361	0.305087456144498	-0.0527496909907166	-0.209271378528525	0.103771996547091	0.0725680458893984	0.0562027035199912	0.0889333882588057	0.00637753515349578	6.97194590308072e-05	-0.000487547099478524
"364a"	"36400000"	"Hakodate"	"pacific"	41.78	140.72	"Japan"	1964	2016	-0.55898052217156	1964	2016	2.79234464590113	0.303068483788778	-0.165574531243394	-0.343999430992754	0.0128503685059661	0.0685888763981523	0.0522142620087274	0.0849634907875773	0.00828733206225459	6.97984825342767e-05	-0.000632070773844772
"583b"	"58300000"	"Cordova-B,Alaska"	"pacific"	60.63	-145.78	"USA"	1964	2016	3.63853797161756	1964	2016	1.8867193553386	0.981288407653339	-0.0875254081231988	-0.325371564018526	0.150320747772128	0.14261926991235	0.0987562277391225	0.186482312085577	0.0147263830004983	0.000500842663814537	-0.00221240055877728
"357a"	"35700000"	"Miyakejima"	"pacific"	34.07	139.62	"Japan"	1964	2015	7.49940237343123	1964	2015	1.30769230769231	0.594640809240013	0.119810943212825	-0.114791336839915	0.354413223265566	0.082482817550463	0.0550476505040502	0.109917984596876	0.0143274293373785	0.000195938164639383	-0.00101860807017125
"352a"	"35200000"	"Mera"	"pacific"	34.92	139.82	"Japan"	1965	2016	4.21464936411115	1965	2016	2.25	0.34839817128228	0.117558476965781	-0.0759038547932975	0.31102080872486	0.064253717812295	0.0472881292301092	0.0812193063944809	0.00974308864331312	7.49275755318356e-05	-0.000553501425757519
"351a"	"35100000"	"Ofunato"	"pacific"	39.02	141.75	"Japan"	1965	2016	3.47159946717158	1965	2016	2.21153846153846	0.327052415439759	-0.0238407251520259	-0.178079066987657	0.130397616683605	0.0610575620111822	0.0464693517994961	0.0756457722228682	0.00619282080131899	5.53997549144328e-05	-0.0003901641268083
"333a"	"33300000"	"Fort Denison"	"pacific"	-33.9	151.32	"Australia"	1965	2015	1.07734866916157	1965	2015	1.64712514092446	0.444505723738311	-0.141536808549	-0.288893574230851	0.00581995713285074	0.0792462350259967	0.0588163553243539	0.0996761147276395	0.00565254436029393	0.000108651427518928	-0.000562467955502434
"355a"	"35500000"	"Naha"	"pacific"	26.22	127.67	"Japan"	1966	2016	2.15294117647059	1966	2016	1.52939123899506	0.490544090190442	0.0554287352508609	-0.155191485389853	0.266048955891575	0.0736464648977683	0.0511435555891893	0.0961493742063474	0.0115479247372818	0.000131819954602203	-0.000794804790498994
