"UHAWAII_ID"	"PSMSL_ID"	"Site"	"Basin"	"Lat"	"Lon"	"Region"	"GPD_Record_Start"	"GPD_Record_End"	"Annual_Trend"	"Trend_Start"	"Trend_End"	"Lambda"	"Q99"	"Shape50"	"Shape5"	"Shape95"	"Scale50"	"Scale5"	"Scale95"	"Vshape"	"Vscale"	"Vscaleshape"
"824a"	"82400000"	"Marseille"	"atlantic"	43.38	5.38	"France"	1885	1988	1.2775686656083	1885	1988	2.02889956561801	0.356314923756178	-0.136444803797505	-0.267841727674709	-0.00504787992030206	0.132865073343551	0.107965945065699	0.157764201621403	0.00449442579245764	0.000161388320930877	-0.000671256437823878
"294a"	"29400000"	"Newlyn, Cornwall"	"atlantic"	50.12	-5.62	"United Kingdom"	1915	2016	1.85965935393283	1915	2016	2.07840347863431	0.965447718424181	-0.285423858859999	-0.391391897175729	-0.179455820544269	0.138286543002459	0.11520120351725	0.161371882487668	0.00292316686671003	0.00013873190473276	-0.000537418144830854
"825a"	"82500000"	"Cuxhaven"	"atlantic"	53.87	8.72	"Germany"	1917	2016	1.97213358070501	1917	2016	2.64	1.28420118845002	0.273927454768399	0.158644001643624	0.389210907893174	0.359471426831846	0.300679609525816	0.418263244137876	0.00345969465890844	0.000899782593926389	-0.000768508680257364
"745a"	"74500000"	"New York,NY"	"atlantic"	40.7	-74.15	"USA"	1920	2016	3.20351195140459	1920	2016	2.61850127011008	0.510526368309117	0.176325399542674	0.043208512906089	0.309442286179258	0.129036013509433	0.10582233600775	0.152249691011116	0.00461285837879044	0.000140278693148861	-0.000489779630702262
"261b"	"26100000"	"Charleston,SC-B"	"atlantic"	32.92	-80	"USA"	1921	2016	3.2656914893617	1921	2016	2.13541666666667	0.474798450817269	0.219280279885658	0.064330460211112	0.374230099560203	0.0703921230894663	0.0559993484495716	0.084784897729361	0.00625008564138035	5.39253370929963e-05	-0.000347963078867593
"741a"	"74100000"	"Boston,MA"	"atlantic"	42.4	-71.07	"USA"	1921	2016	2.80653931153762	1921	2016	2.4375	0.639117257126742	0.058067818952885	-0.0851442906692707	0.201279928575041	0.11509732922944	0.09300117110836	0.13719348735052	0.00533904157242076	0.000127097601848965	-0.00058416660237021
"762a"	"76200000"	"Pensacola,FL"	"atlantic"	30.43	-87.33	"USA"	1923	2016	2.34598639285801	1923	2016	2.35102959165841	0.329414404797057	0.452543796617244	0.261979457505779	0.64310813572871	0.070656962661981	0.0548426956093592	0.0864712297146028	0.00945337931135959	6.5103142864473e-05	-0.000457565184072767
"740a"	"74000000"	"Eastport,ME"	"atlantic"	44.93	-67	"USA"	1929	2016	2.12033842200241	1929	2016	2.31818181818182	0.970781631600748	-0.0149919701091042	-0.150263011204857	0.120279070986649	0.0990749928203174	0.0799911874192414	0.118158798221393	0.00476336085149612	9.48055531987535e-05	-0.000478964341549601
"253a"	"25300000"	"Newport,RI"	"atlantic"	41.55	-71.42	"USA"	1930	2016	2.71755183726813	1930	2016	2.6666456871322	0.464154706290528	0.041535339360037	-0.0906318731090797	0.173702551829154	0.110862105575782	0.0904254810137096	0.131298730137854	0.00454727562293646	0.000108723181214688	-0.000483339330013789
"752a"	"75200000"	"Fort Pulaski,GA"	"atlantic"	32.03	-80.92	"USA"	1935	2016	3.19405718410312	1935	2016	2.13411071416647	0.515953423773901	0.140292475531213	-0.000828374808058502	0.281413325870484	0.0703953176394827	0.0560738308868409	0.0847168043921245	0.00518425299607415	5.33924720736778e-05	-0.000300428233697844
"804a"	"80400000"	"Tregde"	"atlantic"	58	7.57	"Norway"	1927	2008	-0.427982221372579	1927	2008	2.36581416313312	0.469835891226747	-0.0113703527760569	-0.17057713090842	0.147836425356306	0.0956056274232185	0.075298296459642	0.115912958386795	0.00659822202615915	0.000107351844732184	-0.000636183200621041
"750a"	"75000000"	"Wilmington,NC"	"atlantic"	34.32	-77.98	"USA"	1935	2016	2.23616108748591	1935	2016	1.86582251009983	0.3146517514716	0.240804304441369	0.0483086829165293	0.433299925966209	0.0657816242364642	0.0495829350454269	0.0819803134275014	0.00964596160880853	6.83067406825442e-05	-0.0005057537282461
"744a"	"74400000"	"New London,CT"	"atlantic"	41.4	-72.12	"USA"	1938	2016	2.54478986927149	1938	2016	2.89870906255415	0.419949435816337	0.0992720160208894	-0.0386019158591116	0.23714594790089	0.155228083184601	0.125934996692745	0.184521169676456	0.00494843807504784	0.000223374753256954	-0.000694095471772248
"769a"	"76900000"	"Rockport, TX"	"atlantic"	28.07	-97.17	"USA"	1944	2016	5.39771923205512	1944	2016	1.30133325832583	0.327244442855122	0.265942953097239	0.0173735421126777	0.514512364081801	0.0795019805133175	0.0544507910723842	0.104553169954251	0.0160841896168101	0.000163365565452588	-0.000996567143453776
"753a"	"75300000"	"Mayport,FL"	"atlantic"	30.5	-81.57	"USA"	1928	2000	2.44165219628273	1928	2000	1.86296129612961	0.414978525068162	0.0422989301488878	-0.12459987368447	0.209197733982246	0.0618648380291103	0.0472291432213662	0.0765005328368543	0.00725120638309288	5.57609940659788e-05	-0.000428216753551985
"830a"	"83000000"	"La Coruna"	"atlantic"	43.37	-8.4	"Spain"	1943	2013	1.75958760500617	1943	2013	2.01406509081094	0.82093625191737	-0.247769000149741	-0.377385811957018	-0.118152188342463	0.116534498349971	0.0926536789502648	0.140415317749677	0.00437347338271023	0.00014845754225691	-0.000661591103826916
"759a"	"75900000"	"St. Petersburg, FL"	"atlantic"	27.85	-82.72	"USA"	1946	2016	2.68929189163854	1946	2016	2.67603054023831	0.328676598789542	0.259124299652883	0.0692550660199742	0.448993533285791	0.0874165005812998	0.0669385038581156	0.107894497304484	0.00938454049959955	0.00010916382795403	-0.000670022663439442
"279a"	"27900000"	"Montauk,NY"	"atlantic"	41.18	-72.05	"USA"	1947	2016	3.17816186124041	1947	2016	2.84280154881101	0.428984998699922	0.0789454327183441	-0.0629386894368275	0.220829554873516	0.148904957270475	0.119383680235094	0.178426234305856	0.0052404841648429	0.000226868447243241	-0.000716515744655462
"207a"	"20700000"	"Ceuta"	"atlantic"	35.9	-5.32	"Spain"	1944	2013	0.629893871798707	1944	2013	1.7142521902378	0.295780499823322	-0.136149897411842	-0.289966446450915	0.017666651627231	0.0638572439278612	0.0488825130289769	0.0788319748267454	0.00615899632473854	5.83743249533205e-05	-0.000455655174987678
"246a"	"24600000"	"Magueyes Island,PR"	"atlantic"	18.02	-67.17	"USA"	1954	2016	1.84078858732264	1954	2016	1.65077571596193	0.143417930927243	0.351418430134924	0.118493977756552	0.584342882513295	0.0226718927416896	0.0160282479249334	0.0293155375584458	0.0141232284525598	1.14899100866156e-05	-0.000215576292795344
